Name,Rtg,Pos,Card,Nation,PAC,SHO,PAS,DRI,DEF,PHY,Link
Mohamed Salah,99,CAM,pink,Egypt,99,99,96,99,54,88,https://wefut.com/player/22/23557/mohamed-salah
Ousmane Dembélé,99,RW,pink,France,99,96,94,99,49,79,https://wefut.com/player/22/22456/ousmane-dembele
Raphaël Varane,99,CB,pink,France,96,61,80,83,99,98,https://wefut.com/player/22/22450/raphael-varane
Cristiano Ronaldo,99,LW,shapeshifters,Portugal,99,99,90,97,50,92,https://wefut.com/player/22/22188/cristiano-ronaldo
Lionel Messi,99,CF,shapeshifters,Argentina,95,98,99,99,42,78,https://wefut.com/player/22/22165/lionel-messi
Robert Lewandowski,99,ST,playermoments,Poland,97,99,90,98,52,98,https://wefut.com/player/22/23562/robert-lewandowski
Pelé,99,CAM,legend,Brazil,96,97,96,97,62,79,https://wefut.com/player/22/20283/pele
Neymar Jr,98,CAM,pink,Brazil,99,95,94,99,44,73,https://wefut.com/player/22/22455/neymar-jr
Wissam Ben Yedder,98,ST,pink,France,99,99,93,99,55,85,https://wefut.com/player/22/22451/wissam-ben-yedder
Abedi Pelé,98,LW,shapeshifters,Ghana,98,93,96,99,64,75,https://wefut.com/player/22/22274/abedi-pele
David Ginola,98,ST,shapeshifters,France,98,96,95,97,63,92,https://wefut.com/player/22/22242/david-ginola
N'Golo Kanté,98,CAM,shapeshifters,France,92,93,92,96,92,91,https://wefut.com/player/22/22265/n-golo-kante
Franck Ribéry,98,LW,shapeshifters,France,96,95,97,99,46,81,https://wefut.com/player/22/22249/franck-ribery
Alexis Sánchez,98,CF,playermoments,Chile,97,98,96,98,54,93,https://wefut.com/player/22/23583/alexis-sanchez
Kalidou Koulibaly,98,CB,playermoments,Senegal,95,43,80,85,98,97,https://wefut.com/player/22/23582/kalidou-koulibaly
Paulo Dybala,98,CF,playermoments,Argentina,97,98,98,99,51,83,https://wefut.com/player/22/23577/paulo-dybala
Sadio Mané,98,ST,playermoments,Senegal,99,96,95,99,56,92,https://wefut.com/player/22/23576/sadio-mane
Erling Haaland,98,ST,playermoments,Norway,99,99,91,95,54,98,https://wefut.com/player/22/23567/erling-haaland
Diego Maradona,98,CAM,legend,Argentina,93,94,95,98,42,78,https://wefut.com/player/22/20404/diego-maradona
Julián Álvarez,98,ST,showdownwinner,Argentina,99,99,97,98,69,87,https://wefut.com/player/22/23580/julian-alvarez
Ivan Perišić,98,LM,showdownwinner,Croatia,99,97,95,98,87,92,https://wefut.com/player/22/23579/ivan-perisic
Jules Koundé,98,CB,showdownwinner,France,96,60,83,90,99,95,https://wefut.com/player/22/23572/jules-kounde
Christian Eriksen,98,CM,showdownwinner,Denmark,96,97,99,98,90,92,https://wefut.com/player/22/23559/christian-eriksen
Gareth Bale,98,RM,premiumsbc,Wales,99,98,97,97,70,96,https://wefut.com/player/22/22260/gareth-bale
Pelé,98,CAM,legend,Brazil,95,96,93,96,60,76,https://wefut.com/player/22/17988/pele
Mohamed Salah,99,CAM,pink,Egypt,99,99,96,99,54,88,https://wefut.com/player/22/23557/mohamed-salah
Lionel Messi,98,RW,toty,Argentina,93,97,98,99,40,76,https://wefut.com/player/22/18309/lionel-messi
Robert Lewandowski,98,ST,toty,Poland,93,98,87,95,50,95,https://wefut.com/player/22/18308/robert-lewandowski
Allan Saint-Maximin,97,LM,pink,France,99,95,91,99,35,87,https://wefut.com/player/22/22452/allan-saint-maximin
Iván Córdoba,97,RB,shapeshifters,Colombia,96,75,84,90,96,94,https://wefut.com/player/22/22278/ivan-cordoba
Diego Milito,97,RW,shapeshifters,Argentina,97,97,89,95,51,88,https://wefut.com/player/22/22277/diego-milito
Antonio Di Natale,97,RW,shapeshifters,Italy,97,98,94,98,55,80,https://wefut.com/player/22/22276/antonio-di-natale
Diego Milito,97,CAM,shapeshifters,Argentina,94,95,94,97,60,88,https://wefut.com/player/22/22275/diego-milito
Ole Gunnar Solskjær,97,CAM,shapeshifters,Norway,90,94,97,98,60,82,https://wefut.com/player/22/22244/ole-gunnar-solskjaer
Ole Gunnar Solskjær,97,LW,shapeshifters,Norway,99,98,90,94,55,85,https://wefut.com/player/22/22243/ole-gunnar-solskjaer
Marcus Rashford,97,CAM,shapeshifters,England,99,97,93,96,55,91,https://wefut.com/player/22/22250/marcus-rashford
Marcelo,97,ST,shapeshifters,Brazil,96,94,95,98,90,88,https://wefut.com/player/22/22189/marcelo
Heung Min Son,97,ST,shapeshifters,Korea Republic,97,97,93,96,52,82,https://wefut.com/player/22/22166/heung-min-son
Richarlison,97,ST,playermoments,Brazil,99,96,91,98,70,93,https://wefut.com/player/22/23584/richarlison
Raheem Sterling,97,CF,playermoments,England,99,96,92,98,54,80,https://wefut.com/player/22/23574/raheem-sterling
Antonio Rüdiger,97,CB,playermoments,Germany,92,54,85,87,98,98,https://wefut.com/player/22/23569/antonio-rudiger
Ryan Gravenberch,97,CM,playermoments,Netherlands,96,92,96,98,90,92,https://wefut.com/player/22/23563/ryan-gravenberch
Zinedine Zidane,97,CAM,legend,France,86,93,98,98,76,88,https://wefut.com/player/22/20285/zinedine-zidane
Ronaldo,97,ST,legend,Brazil,98,97,83,97,46,79,https://wefut.com/player/22/20284/ronaldo
Georginio Wijnaldum,97,CM,showdownwinner,Netherlands,94,91,94,99,94,94,https://wefut.com/player/22/23565/georginio-wijnaldum
Paul Pogba,97,CM,showdownwinner,France,94,92,96,98,92,94,https://wefut.com/player/22/23564/paul-pogba
Wissam Ben Yedder,97,LW,pinkgold,France,99,97,92,99,55,84,https://wefut.com/player/22/22448/wissam-ben-yedder
Diego Maradona,97,CAM,legend,Argentina,92,93,92,97,40,76,https://wefut.com/player/22/18095/diego-maradona
Rafael Leão,97,LW,goldblue,Portugal,99,95,90,98,47,90,https://wefut.com/player/22/21919/rafael-leao
Lionel Messi,97,RW,goldblue,Argentina,92,96,97,99,38,74,https://wefut.com/player/22/21836/lionel-messi
Karim Benzema,98,CF,goldblue,France,95,98,90,98,47,87,https://wefut.com/player/22/21835/kylian-mbappe
Luka Modrić,97,CM,goldblue,Croatia,90,90,98,97,86,86,https://wefut.com/player/22/21764/luka-modric
Robert Lewandowski,97,ST,goldblue,Poland,92,97,86,94,49,94,https://wefut.com/player/22/21701/robert-lewandowski
Joshua Kimmich,97,CDM,goldblue,Germany,88,84,97,93,95,93,https://wefut.com/player/22/21700/joshua-kimmich
Cristiano Ronaldo,97,ST,goldblue,Portugal,94,99,88,95,39,91,https://wefut.com/player/22/21597/cristiano-ronaldo
Mohamed Salah,97,RW,goldblue,Egypt,98,97,94,98,52,86,https://wefut.com/player/22/21596/mohamed-salah
Cristiano Ronaldo,97,ST,toty,Portugal,93,98,88,95,39,92,https://wefut.com/player/22/18365/cristiano-ronaldo
Rúben Dias,97,CB,toty,Portugal,87,50,84,81,97,96,https://wefut.com/player/22/18314/ruben-dias
Jorginho,97,CM,toty,Italy,88,90,98,93,86,87,https://wefut.com/player/22/18311/jorginho
Kylian Mbappé,97,ST,toty,France,99,95,90,98,44,88,https://wefut.com/player/22/18307/kylian-mbappe
Antoine Griezmann,96,ST,pink,France,95,96,94,98,60,81,https://wefut.com/player/22/22446/antoine-griezmann
Kevin-Prince Boateng,96,CAM,pink,Ghana,90,96,93,97,87,96,https://wefut.com/player/22/22441/kevin-prince-boateng
Ferland Mendy,96,CM,pink,France,99,91,92,93,93,97,https://wefut.com/player/22/22434/ferland-mendy
Nicolò Barella,96,CM,pink,Italy,94,91,96,98,91,90,https://wefut.com/player/22/22425/nicolo-barella
Joe Cole,96,CAM,shapeshifters,England,97,92,94,98,60,83,https://wefut.com/player/22/22279/joe-cole
Sadio Mané,96,CAM,championsleague,Senegal,99,92,91,96,53,88,https://wefut.com/player/22/19432/sadio-mane
Leroy Sané,96,CF,shapeshifters,Germany,99,93,92,96,50,84,https://wefut.com/player/22/22251/leroy-sane
Sergio Ramos,96,ST,shapeshifters,Spain,97,95,90,93,90,91,https://wefut.com/player/22/22191/sergio-ramos
Timo Werner,96,RF,shapeshifters,Germany,99,95,91,96,50,88,https://wefut.com/player/22/22190/timo-werner
